SiteID, 70784.0,Site Timezone,-5.0,Data Timezone,0
Longitude, -75.000671
Latitude, 40.016705
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2011,1,1,0,0,7.055,0.852
2011,1,1,0,5,7.156000000000001,0.891
2011,1,1,0,10,7.199,0.908
2011,1,1,0,15,7.226,0.919
2011,1,1,0,20,7.272,0.937
2011,1,1,0,25,7.306,0.9500000000000001
2011,1,1,0,30,7.367,0.973
2011,1,1,0,35,7.434,1.0
2011,1,1,0,40,7.559,1.048
2011,1,1,0,45,7.614,1.07
2011,1,1,0,50,7.58,1.057
2011,1,1,0,55,7.605,1.066
2011,1,1,1,0,7.626,1.075
2011,1,1,1,5,7.641,1.081
2011,1,1,1,10,7.6690000000000005,1.091
2011,1,1,1,15,7.7540000000000004,1.124
2011,1,1,1,20,7.785,1.1360000000000001
2011,1,1,1,25,7.773000000000001,1.1320000000000001
2011,1,1,1,30,7.763,1.1280000000000001
2011,1,1,1,35,7.748,1.122
2011,1,1,1,40,7.809,1.1460000000000001
2011,1,1,1,45,7.873,1.171
2011,1,1,1,50,7.846,1.161
2011,1,1,1,55,7.913,1.187
2011,1,1,2,0,7.965,1.207
2011,1,1,2,5,7.922000000000001,1.19
2011,1,1,2,10,7.934,1.195
2011,1,1,2,15,7.95,1.201
2011,1,1,2,20,7.922000000000001,1.19
2011,1,1,2,25,7.91,1.186
2011,1,1,2,30,7.773000000000001,1.1320000000000001
2011,1,1,2,35,7.672000000000001,1.093
2011,1,1,2,40,7.614,1.071
2011,1,1,2,45,7.589,1.062
2011,1,1,2,50,7.602,1.066
2011,1,1,2,55,7.589,1.062
2011,1,1,3,0,7.562,1.051
2011,1,1,3,5,7.519,1.034
2011,1,1,3,10,7.4190000000000005,0.996
2011,1,1,3,15,7.437,1.0030000000000001
2011,1,1,3,20,7.437,1.0030000000000001
2011,1,1,3,25,7.434,1.002
2011,1,1,3,30,7.361,0.973
2011,1,1,3,35,7.3180000000000005,0.9570000000000001
2011,1,1,3,40,7.269,0.9380000000000001
2011,1,1,3,45,7.235,0.924
2011,1,1,3,50,7.199,0.91
2011,1,1,3,55,7.232,0.923
2011,1,1,4,0,7.199,0.91
2011,1,1,4,5,7.132000000000001,0.884
2011,1,1,4,10,7.147,0.89
2011,1,1,4,15,7.122,0.881
2011,1,1,4,20,6.958,0.8170000000000001
2011,1,1,4,25,7.0,0.833
2011,1,1,4,30,7.037,0.848
2011,1,1,4,35,6.9270000000000005,0.805
2011,1,1,4,40,6.9,0.797
2011,1,1,4,45,6.7410000000000005,0.748
2011,1,1,4,50,6.561,0.6920000000000001
2011,1,1,4,55,6.546,0.6880000000000001
2011,1,1,5,0,6.3660000000000005,0.632
2011,1,1,5,5,6.265000000000001,0.601
