SiteID, 70784.0,Site Timezone,-5.0,Data Timezone,0
Longitude, -75.000671
Latitude, 40.016705
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2008,1,1,0,0,3.781,0.088
2008,1,1,0,5,3.701,0.08
2008,1,1,0,10,3.738,0.084
2008,1,1,0,15,3.823,0.092
2008,1,1,0,20,3.918,0.101
2008,1,1,0,25,3.915,0.101
2008,1,1,0,30,3.7720000000000002,0.08700000000000001
2008,1,1,0,35,3.448,0.056
2008,1,1,0,40,2.96,0.01
2008,1,1,0,45,2.496,0.005
2008,1,1,0,50,2.246,0.002
2008,1,1,0,55,2.2,0.002
2008,1,1,1,0,2.322,0.003
2008,1,1,1,5,2.536,0.006
2008,1,1,1,10,2.728,0.008
2008,1,1,1,15,2.838,0.009000000000000001
2008,1,1,1,20,2.865,0.009000000000000001
2008,1,1,1,25,2.908,0.01
2008,1,1,1,30,3.048,0.018000000000000002
2008,1,1,1,35,3.112,0.024
2008,1,1,1,40,3.134,0.026000000000000002
2008,1,1,1,45,3.186,0.031
2008,1,1,1,50,3.1950000000000003,0.032
2008,1,1,1,55,3.146,0.027
2008,1,1,2,0,3.1790000000000003,0.03
2008,1,1,2,5,3.338,0.046
2008,1,1,2,10,3.537,0.065
2008,1,1,2,15,3.7110000000000003,0.081
2008,1,1,2,20,3.811,0.091
2008,1,1,2,25,3.863,0.096
2008,1,1,2,30,3.97,0.107
2008,1,1,2,35,4.107,0.13
2008,1,1,2,40,4.205,0.146
2008,1,1,2,45,4.284,0.159
2008,1,1,2,50,4.385,0.176
2008,1,1,2,55,4.522,0.199
2008,1,1,3,0,4.672,0.224
2008,1,1,3,5,4.782,0.242
2008,1,1,3,10,4.843,0.252
2008,1,1,3,15,4.87,0.256
2008,1,1,3,20,4.916,0.264
2008,1,1,3,25,5.032,0.289
2008,1,1,3,30,5.239,0.337
2008,1,1,3,35,5.447,0.386
2008,1,1,3,40,5.572,0.41500000000000004
2008,1,1,3,45,5.59,0.419
2008,1,1,3,50,5.468,0.391
2008,1,1,3,55,5.246,0.339
2008,1,1,4,0,5.026,0.28700000000000003
2008,1,1,4,5,4.809,0.246
2008,1,1,4,10,4.751,0.23700000000000002
2008,1,1,4,15,4.8180000000000005,0.248
